,Bcell_HPCA,DC_HPCA,Fibroblasts_HPCA,MSC_HPCA,Macrophage_HPCA,Monocyte_HPCA,NK cells_HPCA,Tcell_HPCA,Adipocytes_ENCODE,CD4+ Tcell_ENCODE,CD8+ T-cells_ENCODE,Bcell_ENCODE,DC_ENCODE,Eosinophils_ENCODE,Fibroblasts_ENCODE,Macrophage_ENCODE,Monocyte_ENCODE,NK cells_ENCODE
FKBP11,9,7,10,10,7,7,10,10,6,9,9,9,6,8,8,5,6,10
CBLB,7,6,7,7,8,6,10,9,9,9,10,7,10,9,8,8,7,9
DUSP2,9,8,7,7,9,8,10,9,5,9,10,9,8,7,3,8,10,10
INPP5D,10,8,4,4,8,9,10,9,6,10,10,10,9,10,1,8,10,10
HCP5,9,8,2,2,8,9,9,9,4,9,9,9,9,9,1,8,8,10
MAP3K8,8,7,5,2,7,7,9,5,8,4,7,9,9,9,7,9,10,10
PARP8,7,7,5,6,7,8,10,10,7,10,10,8,9,9,5,9,10,10
LY75,9,10,2,1,9,8,9,9,3,9,9,9,10,9,2,8,8,9
ARHGAP25,10,10,4,3,9,9,10,10,5,9,9,10,10,10,2,9,9,10
EVI2A,10,10,6,5,10,10,10,10,7,10,10,9,8,1,3,9,10,10
CYTIP,10,10,1,4,9,10,10,10,5,10,10,10,10,10,1,9,10,10
RASA2,9,8,7,8,8,8,10,10,7,10,9,8,8,7,7,7,8,10
IL2RG,10,10,4,4,10,10,10,10,5,10,10,10,9,9,1,8,9,10
CD48,10,10,4,3,10,10,10,10,4,10,10,9,9,9,1,10,10,10
IL10RA,9,10,3,2,10,10,10,10,7,10,9,10,10,8,1,10,10,10
ARL4C,7,10,8,9,8,9,10,10,7,10,10,4,6,10,6,6,9,10
CDC25B,10,9,9,9,9,8,10,10,7,9,9,9,6,6,9,6,6,9
SELPLG,7,10,6,7,9,9,10,10,5,10,10,8,10,10,2,8,9,10
PRKD2,10,7,8,8,7,8,10,10,7,9,9,10,7,10,7,6,8,9
PRKCB,9,7,4,4,8,9,9,9,3,9,10,8,6,10,1,9,10,10
PITPNC1,7,6,5,5,6,7,9,8,7,10,10,6,8,9,6,8,8,10
DENND2D,10,8,5,4,10,8,10,10,7,10,10,9,8,8,5,10,8,10
CXCR4,10,10,2,3,9,10,10,10,6,10,10,10,10,10,2,9,10,10
TNFRSF1B,7,10,5,5,10,10,10,10,9,8,8,4,10,9,6,10,10,10
S1PR4,9,8,6,6,8,9,9,10,2,9,9,10,6,10,1,7,8,9
VAMP8,10,10,3,3,10,10,10,10,6,9,10,10,10,9,2,10,10,10
CD52,10,10,3,3,10,10,10,10,5,10,10,10,10,10,1,10,10,10
DEF6,9,7,5,5,7,8,9,9,4,10,10,10,6,10,2,7,9,10
LPAR6,6,9,7,7,9,10,9,10,7,10,8,4,7,1,6,9,9,9
LAIR1,7,9,4,4,10,9,9,8,7,9,9,5,6,10,1,10,10,10
NEDD9,8,4,6,7,5,7,9,7,7,9,9,10,6,10,6,7,10,10
UPP1,5,10,7,7,10,9,10,9,8,9,8,5,10,10,7,10,10,9
SLA,9,10,5,4,10,10,10,10,7,10,10,8,10,10,1,9,10,10
SAMD9,7,7,7,6,7,8,9,8,6,9,9,8,8,7,7,7,8,10
ICAM2,9,7,5,3,7,9,9,9,9,9,9,10,5,9,3,7,9,10
IFITM1,9,7,10,8,7,9,10,10,9,10,10,9,8,10,9,1,8,10
PTPRC,10,9,4,4,9,10,10,10,7,10,10,10,10,10,1,10,10,10
PTPN6,10,10,4,4,10,10,10,10,6,10,10,10,9,10,1,10,10,10
CORO1A,10,9,5,6,9,10,10,10,6,10,10,10,9,10,2,9,10,10
FYN,7,6,8,8,6,9,10,10,10,10,10,8,9,7,9,8,10,10
CELF2,8,9,6,5,8,9,10,10,9,10,10,6,10,10,7,8,10,10
MFNG,9,8,3,3,8,9,9,9,6,10,10,9,9,10,1,8,9,10
LMNB1,8,7,7,8,6,8,9,6,6,8,8,8,10,9,7,7,9,9
IL16,9,7,4,5,6,8,9,9,7,10,10,10,7,10,2,8,9,10
PSTPIP1,7,9,4,4,9,9,9,9,5,9,10,8,8,10,1,10,9,10
BTN3A2,9,8,7,7,8,9,10,9,7,10,10,10,9,10,7,8,8,10
CD53,10,10,4,4,10,10,10,10,7,10,10,10,10,10,1,10,10,10
ICAM3,10,8,7,8,7,10,10,10,5,10,10,10,8,10,6,7,10,10
APOBEC3C,9,8,8,8,8,8,9,9,6,6,7,8,7,9,7,7,8,9
ACSL5,9,9,5,4,9,9,9,9,6,8,8,8,9,8,4,9,9,9
ITGB2,10,10,5,4,10,10,10,9,8,10,10,10,10,10,1,10,10,10
LCP1,10,10,3,4,10,10,10,10,8,10,10,10,10,10,2,10,10,10
PTPRE,7,10,4,3,10,10,9,8,6,8,8,7,9,10,3,10,10,10
GMFG,10,10,5,5,10,10,10,10,7,10,10,10,9,10,2,10,10,10
ARHGEF6,10,9,7,7,9,9,10,10,9,10,10,9,8,10,6,7,9,9
CTSS,10,10,5,3,10,10,10,10,8,10,9,10,10,10,3,10,10,10
LAPTM5,10,10,5,4,10,10,10,10,8,10,10,10,10,10,1,10,10,10
VAV1,9,9,4,4,9,9,9,9,5,10,10,9,8,10,1,9,9,10
RAP2C,9,9,9,9,9,9,10,9,7,9,9,9,10,8,7,9,9,9
DOCK2,10,10,3,5,10,10,10,10,7,10,10,10,10,10,4,10,10,10
EFHD2,7,10,8,8,10,10,10,8,8,7,8,8,9,10,8,10,10,10
RHBDF2,9,8,6,6,9,9,9,8,7,6,7,10,9,8,6,9,9,9
NFIL3,5,10,9,9,9,9,9,6,9,4,6,5,10,9,8,8,10,9
SIPA1,9,9,6,7,9,9,10,9,8,10,10,10,9,10,7,9,9,10
CYLD,8,8,7,7,8,8,10,10,8,10,10,10,10,10,8,9,10,10
UCP2,10,10,6,7,10,10,10,10,7,10,10,10,10,10,3,9,9,10
SP110,10,8,8,8,9,9,10,10,7,10,10,9,9,10,7,8,9,10
ADCY7,8,9,7,7,9,9,10,9,8,10,10,9,9,10,8,10,9,10
TNFAIP3,9,10,7,8,10,10,10,10,7,10,10,8,10,8,5,9,10,10
CHD1,8,9,8,8,8,9,10,10,9,10,10,9,9,8,8,8,10,10
CD55,9,9,9,7,9,10,10,9,9,10,9,10,8,8,8,8,10,9
APOL3,8,8,7,5,8,9,9,9,9,10,9,9,8,6,7,6,9,9
ZC3HAV1,9,9,9,8,8,9,10,10,8,10,10,9,9,9,8,8,9,10
CRIP1,9,10,7,6,9,10,10,10,7,10,10,10,10,10,5,9,10,10
STK17B,10,8,7,7,7,9,10,9,9,10,10,10,10,10,8,8,10,10
ARID5A,7,8,7,6,8,8,9,8,7,9,9,8,10,10,7,8,8,9
WAS,9,9,8,7,9,10,9,9,5,9,9,9,7,10,1,8,9,9
PIM1,9,9,8,8,9,9,10,10,8,10,9,9,9,10,8,9,9,10
RAB8B,9,9,8,8,9,9,10,9,9,9,10,8,10,7,9,10,10,10
RPS6KA1,8,10,4,4,10,9,9,8,6,9,10,9,10,10,2,10,9,10
APBB1IP,9,9,8,6,9,9,9,9,6,9,9,8,9,9,4,7,9,9
RGS2,10,9,9,8,9,10,10,10,9,8,9,10,8,10,7,8,10,10
GYPC,9,8,9,9,9,9,10,10,10,10,10,10,7,7,9,9,9,10
ANXA1,4,10,10,10,10,10,10,10,10,10,9,1,10,10,10,10,10,10
SERPINB1,9,10,8,7,10,10,10,9,8,9,9,9,10,10,7,10,10,9
IRAK4,8,8,7,7,7,8,9,8,8,9,9,9,9,9,7,8,9,9
CASP1,7,9,6,4,9,10,9,9,7,9,8,8,7,9,7,10,10,10
TMC6,9,8,5,5,8,8,9,9,6,10,10,10,9,10,3,10,9,10
STX4,9,10,9,9,10,9,10,8,9,9,9,9,9,10,8,10,9,9
BAZ1A,9,10,8,8,10,10,10,9,8,10,10,9,10,9,7,9,9,10
STK17A,9,7,8,8,7,6,9,9,7,10,10,9,8,9,8,7,8,10
TRIM21,8,9,8,8,9,9,9,9,6,8,8,7,9,9,7,9,8,9
AKAP13,9,8,6,7,9,9,10,9,10,10,10,10,10,10,9,10,10,10
ISG15,9,9,9,10,9,10,10,9,8,9,10,9,9,10,9,8,9,10
GNA13,9,9,8,8,9,9,10,9,9,10,10,9,10,9,9,9,10,10
PHF11,10,10,10,9,10,10,10,10,8,10,10,10,9,7,7,8,9,9
STK10,9,9,8,8,9,10,10,10,8,10,10,9,9,10,8,9,10,10
PSMB9,10,10,8,7,10,10,10,10,7,10,10,10,10,9,7,9,9,10
PIP4K2A,10,9,9,8,9,9,10,10,8,10,10,9,10,9,8,9,9,10
GPSM3,8,9,6,5,9,9,9,9,5,10,10,10,9,10,3,9,10,10
XAF1,8,8,8,5,8,9,9,9,8,9,9,8,10,9,7,8,9,9
GADD45B,9,9,9,9,9,9,10,9,9,9,9,10,10,10,9,8,10,10
ARHGDIB,10,10,6,7,10,10,10,10,8,10,10,10,10,10,6,10,10,10
RBMS1,8,10,10,10,10,10,10,10,10,10,10,4,9,9,9,9,9,10
PIK3IP1,8,8,8,6,8,8,9,10,8,10,10,8,8,8,7,9,8,10
CD58,8,10,8,8,10,10,9,8,8,6,7,7,10,7,7,9,10,9
MX1,10,9,7,6,9,10,9,9,7,9,9,9,9,9,4,8,9,9
WIPF1,10,10,8,7,9,10,10,10,8,10,10,10,10,10,7,9,10,10
CKLF,9,10,8,9,10,10,10,10,8,9,9,8,9,10,9,10,10,10
AKR1B1,10,10,10,10,10,10,10,10,10,9,9,9,8,6,10,10,8,9
TES,9,9,9,10,9,10,10,10,8,10,10,9,9,10,8,8,10,10
CASP4,9,9,9,8,9,10,10,9,10,10,10,10,9,7,10,10,10,10
TAP1,10,10,8,8,10,10,10,10,8,10,10,9,10,10,8,9,9,10
CSK,10,10,9,9,10,10,10,10,7,10,10,10,9,10,7,9,9,10
CFLAR,8,9,8,7,9,10,10,9,10,10,10,10,10,10,9,10,10,10
EVL,10,10,8,7,10,9,10,10,9,10,10,10,10,10,7,10,9,10
RFTN1,10,10,10,10,10,10,10,10,9,9,9,9,10,8,9,8,8,10
CIB1,10,10,10,10,10,10,10,10,8,9,10,9,9,9,8,9,9,10
CTSC,8,10,9,9,10,9,10,9,10,9,10,8,10,10,9,10,10,10
RAC2,10,10,8,9,10,10,10,10,7,10,10,10,9,10,7,10,10,10
BST2,9,10,7,4,9,10,9,9,8,8,8,10,10,8,4,10,10,10
SLC2A3,9,10,9,8,9,10,10,10,10,10,10,9,8,10,9,9,10,10
PLEKHO2,9,10,8,7,10,10,9,8,8,6,7,7,9,9,8,10,9,9
CCND3,10,9,9,9,10,10,10,10,10,10,10,9,7,10,9,9,9,10
IFNGR1,9,10,10,9,10,10,10,9,10,8,9,8,10,9,9,10,10,10
SH3GLB1,10,10,10,10,10,10,10,10,9,9,9,9,10,7,9,10,9,9
FNBP1,10,10,9,9,9,10,10,10,8,10,10,10,10,9,8,9,9,10
RHOG,10,10,9,9,10,10,10,10,9,9,9,9,10,10,8,9,10,9
TRIM22,10,10,10,8,10,10,10,10,9,10,10,7,9,10,9,9,10,10
HLA-F,10,10,10,9,10,10,10,10,8,10,10,10,10,10,4,10,10,10
TNFAIP8,10,10,9,9,10,10,10,10,9,10,10,10,10,9,7,9,9,10
UBE2L6,10,10,9,8,10,10,10,10,9,9,10,9,9,9,9,10,10,10
VASP,9,10,9,9,10,10,10,9,9,9,10,9,9,10,9,10,10,10
PTBP3,8,8,7,8,8,9,9,8,8,9,9,8,10,9,8,9,9,10
IFI35,9,9,9,7,9,9,9,8,8,8,8,9,9,8,8,9,9,9
MALT1,9,9,8,8,8,9,9,9,7,10,9,9,9,8,7,8,9,9
NCKAP1L,9,10,5,4,10,10,9,9,7,10,10,10,10,10,1,10,10,10
MCM5,10,9,7,9,8,8,9,8,7,8,8,9,10,9,8,9,9,9
FAM89B,9,9,9,9,9,9,9,9,8,8,8,8,9,9,8,8,7,9
NXF1,10,10,9,9,10,10,10,10,9,10,10,10,9,10,8,8,10,10
LIPA,10,10,10,10,10,10,10,10,10,9,9,8,10,8,9,10,10,9
FMNL1,8,9,7,6,9,9,9,9,7,10,10,10,10,10,4,8,10,10
TCIRG1,9,10,9,9,10,10,10,9,10,9,9,10,10,10,9,10,10,10
IFITM2,10,9,10,10,9,10,10,10,10,10,10,9,9,10,10,7,10,10
GLRX,10,10,10,9,10,10,10,10,10,9,9,9,9,9,9,10,10,10
TINF2,10,10,9,9,10,10,10,10,9,9,10,10,9,10,9,10,9,10
TNFRSF1A,6,10,10,10,10,10,9,9,10,8,8,1,8,10,10,9,9,9
EML4,8,8,7,8,9,8,9,9,8,10,10,8,9,10,8,9,9,9
ATP6V0D1,10,10,10,10,10,10,10,10,10,8,8,9,10,10,10,10,10,9
RAB8A,10,10,10,10,10,10,10,10,9,9,9,9,10,9,9,10,10,10
IFI16,10,10,10,10,10,10,10,10,10,10,10,10,10,6,10,9,9,10
PSMB8,10,10,9,8,10,10,10,10,8,10,10,10,10,10,9,10,10,10
RGS19,10,10,8,8,10,10,9,9,7,8,9,9,7,10,6,9,9,9
BTG2,9,8,5,5,9,9,9,9,9,10,10,10,9,10,7,9,10,10
ARRB2,7,10,5,6,10,10,9,9,8,10,10,8,10,10,5,10,10,10
ATM,9,7,7,7,7,7,9,9,9,10,10,10,9,10,9,9,9,10
CD99,10,10,10,10,10,10,10,10,10,9,10,10,9,7,10,10,10,10
BTG1,10,10,10,10,10,10,10,10,9,10,10,10,10,10,7,9,10,10
ATP6V1F,10,10,10,10,10,10,10,10,10,9,9,10,10,8,9,10,10,10
GSTO1,10,10,10,10,10,10,10,10,10,9,9,9,10,9,10,10,10,9
DAXX,9,9,8,9,9,9,9,9,8,9,9,9,9,9,9,8,8,9
RASSF1,9,9,9,8,8,9,9,9,8,8,9,10,8,10,8,8,9,10
CD81,10,10,10,10,10,10,10,10,10,9,9,10,10,10,10,10,8,10
KLF6,9,10,10,10,10,10,10,10,10,10,10,9,10,10,9,9,10,10
TYK2,10,10,9,9,10,10,10,10,9,10,10,10,10,10,9,10,10,10
PTTG1IP,10,10,10,10,10,10,10,10,10,9,9,9,10,10,10,10,10,9
LASP1,10,10,10,10,10,10,10,10,10,9,9,9,10,10,10,10,9,10
LITAF,10,10,10,9,10,10,10,10,9,10,10,9,10,10,9,10,10,10
CHFR,8,9,8,8,9,9,9,9,8,9,9,9,10,10,8,9,9,9
UTRN,7,7,7,8,7,8,9,8,10,10,10,9,10,10,9,10,10,10
EHD1,9,8,8,9,8,8,9,9,9,9,9,10,8,10,9,8,9,10
PARP12,9,10,7,6,10,9,9,9,8,10,9,9,10,10,7,9,9,9
TMEM109,9,9,9,9,9,9,9,9,9,9,9,9,9,8,9,8,8,9
EMP3,8,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10
S100A4,8,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10
MYH9,9,9,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10
GSTP1,10,10,10,10,10,10,10,9,10,9,10,10,10,9,10,10,10,10
FLNA,8,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10
CD63,9,10,10,10,10,10,10,10,10,8,10,10,10,10,10,10,10,10
AMPD2,8,9,9,9,9,9,9,9,8,9,9,9,8,10,9,8,10,9
CD74,10,10,6,6,10,10,9,9,8,10,10,10,10,10,2,10,10,10
TNFRSF14,9,9,7,5,9,9,9,9,8,10,10,10,10,10,7,10,9,10
GLIPR1,9,9,9,10,10,10,9,9,8,8,8,9,7,7,9,10,10,9
PCSK7,9,8,8,8,8,8,9,9,9,10,10,9,9,10,9,8,9,10
ITGA5,8,10,10,10,10,10,9,9,10,9,9,1,9,7,10,9,10,10
PYCARD,9,9,8,8,10,10,9,8,9,7,8,9,8,10,9,10,10,9
TXNIP,10,10,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10
SH3BGRL3,10,10,10,10,10,10,10,10,9,10,10,10,10,10,9,10,10,10
S100A10,10,10,10,10,10,10,10,10,10,10,10,9,10,9,10,10,10,10
CYBA,10,10,10,9,10,10,10,9,10,10,10,10,10,10,10,10,10,10
SRGN,10,10,9,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10
CD44,8,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
ARHGEF1,9,8,7,7,8,9,9,9,9,10,10,10,9,10,9,9,9,10
SDCBP,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10
ADAR,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10
CAPNS1,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10
MSN,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
HLA-E,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10
SSR2,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10
ARL6IP5,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10
SSR4,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10,10
NFKBIA,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,10,10,10
TAGLN2,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
ARPC5,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10
FTL,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
PFN1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
ARPC2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
UBA7,9,9,8,7,9,9,9,9,8,10,10,10,9,10,8,9,9,10
MCL1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
CAP1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
WDR1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
GSTK1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
TMSB10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
PSME1,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
PRMT2,7,8,8,8,8,8,9,9,9,10,10,9,10,10,10,10,9,10
HLA-C,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
HLA-A,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
B2M,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
IRAK1,8,9,9,9,9,9,9,8,9,8,9,10,9,10,9,10,9,9
HLA-B,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
PSAP,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
VIM,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
LSP1,10,10,5,5,10,10,9,9,9,10,10,10,10,10,5,10,10,10
ARPC1B,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
DAZAP2,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
GABARAP,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
PLEKHO1,9,10,8,9,10,10,9,8,8,9,9,9,10,8,8,10,10,9
PDIA4,9,9,9,10,9,9,9,8,9,9,9,9,9,7,10,10,9,10
SETX,9,9,8,8,9,9,9,9,9,10,10,9,9,9,9,9,9,10
MAN2A1,9,9,9,9,9,9,9,9,9,10,10,9,10,8,9,9,9,9
SCAMP2,9,9,9,9,10,10,9,9,9,9,9,9,8,10,8,10,9,9
CALCOCO2,9,9,9,8,9,9,9,9,10,10,9,9,9,10,9,9,10,9
LY6E,7,9,9,9,9,9,9,9,9,9,10,9,10,8,10,10,10,10
DNAJB1,9,9,9,9,9,9,9,10,9,10,10,9,8,9,9,9,9,10
CTSD,6,10,9,7,10,10,9,6,10,9,10,9,10,10,10,10,10,10
FXYD5,8,9,9,8,9,9,9,10,9,10,10,10,7,9,9,10,10,10
MTMR14,10,10,8,8,10,10,9,9,8,9,9,9,9,10,8,10,10,9
NDRG1,8,10,10,9,10,10,9,10,10,9,9,9,9,8,9,9,9,9
ARAP1,8,9,8,7,10,10,9,8,10,9,9,10,10,10,9,10,10,10
TSC22D3,10,8,8,8,9,10,9,10,10,10,10,10,8,10,9,8,10,10
RAB5C,8,10,9,9,10,9,9,8,10,9,9,9,10,9,9,10,10,10
CDC42SE1,9,9,8,7,9,9,9,10,9,10,10,10,10,10,8,10,10,10
TGFBR2,9,9,9,9,9,9,9,10,10,10,10,9,9,10,10,9,9,10
MAN2B1,10,10,9,8,10,10,9,9,9,9,9,10,10,10,9,10,10,9
